"month","year","MON.x","new.mean","MON.y","old.mean","diff","Date","pcent.diff"
1,"2007","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2007-01-00-000000-g01.h5",1.43692741403356e-05,"2007JAN.h5",1.43692728800009e-05,-1.26033472869799e-12,2007-01-15,-8.77103962793058e-06
1,"2008","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2008-01-00-000000-g01.h5",4.27944614784792e-05,"2008JAN.h5",4.27944626960286e-05,1.21754935642057e-12,2008-01-15,2.84510965897766e-06
1,"2009","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2009-01-00-000000-g01.h5",4.37495418736944e-06,"2009JAN.h5",4.37495346857524e-06,-7.18794199542369e-13,2009-01-15,-1.64297537463831e-05
1,"2010","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2010-01-00-000000-g01.h5",2.64816862909356e-05,"2010JAN.h5",2.62821909360668e-05,-1.99495354868841e-07,2010-01-15,-0.753333275974677
1,"2011","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2011-01-00-000000-g01.h5",1.84883283509407e-05,"2011JAN.h5",1.84883306191765e-05,2.26823577688341e-12,2011-01-15,1.22684741032941e-05
1,"2012","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2012-01-00-000000-g01.h5",1.96457513084169e-05,"2012JAN.h5",1.96457525797536e-05,1.27133668040768e-12,2012-01-15,6.47130597997148e-06
1,"2013","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2013-01-00-000000-g01.h5",2.5683961212053e-05,"2013JAN.h5",2.54170498704699e-05,-2.66911341583105e-07,2013-01-15,-1.03921408142389
1,"2014","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2014-01-00-000000-g01.h5",2.93269240501104e-05,"2014JAN.h5",2.93269234486703e-05,-6.01440043737156e-13,2014-01-15,-2.05081188697775e-06
1,"2015","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2015-01-00-000000-g01.h5",1.5189573787211e-05,"2015JAN.h5",1.51895733275739e-05,-4.59637107766571e-13,2015-01-15,-3.02600398072173e-06
1,"2016","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2016-01-00-000000-g01.h5",7.82317511038855e-06,"2016JAN.h5",7.82317517273294e-06,6.2344394715654e-14,2016-01-15,7.96919330525725e-07
1,"2017","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2017-01-00-000000-g01.h5",1.94638087123167e-05,"2017JAN.h5",1.94638093822133e-05,6.69896636670527e-13,2017-01-15,3.44175514754852e-06
1,"2018","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2018-01-00-000000-g01.h5",1.95231223187875e-05,"2018JAN.h5",1.95231237441515e-05,1.4253640077315e-12,2018-01-15,7.30090190526056e-06
1,"2019","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2019-01-00-000000-g01.h5",2.80905169347534e-05,"2019JAN.h5",2.8090515477606e-05,-1.4571474249111e-12,2019-01-15,-5.18732862220261e-06
1,"2020","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2020-01-00-000000-g01.h5",2.04119223781163e-05,"2020JAN.h5",2.04119232925007e-05,9.1438445695897e-13,2020-01-15,4.47965871064326e-06
1,"2021","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2021-01-00-000000-g01.h5",1.90845821634866e-05,"2021JAN.h5",1.9084581874991e-05,-2.88495630515343e-13,2021-01-15,-1.51166856809937e-06
