site.gen,PlotID,Site,Treatment,Site group,Burned,Thinned,Texture,Plot#,Depth,perc.clay,perc.sand,perc.silt,DWE,perc.water,perc.org.mat,ph,n.perc,c.perc,c.n.ratio,c.mineralization,DOC,ammonium,nitrate,n.inorg,n.total,n.org,n.min,nitrification,H1,H2_inorg,H2_org,H2_total,p.inorg,p.total,MBC,MBN,MBP,Ca,K,Na,BG.activity,NAG.activity,AP.activity,Phenox.activity,Perox.activity,perc.great.4mm,perc.great.2mm,perc.great.1mm,perc.great.500 um,perc.great.250 um,perc.great.53um,perc.great.53um,perc.large.macro,perc.small.macro,perc.micro,perc.clay.silt,avg.aggregate.size,perc.fWAS
bluff_creek,OEB0,Bluff Creek,Burned,9,Yes,No,loam,28,0-5,15,45,40,0.808,19.15280567,7.927172181,6.68,0.28297022,3.919591904,13.85160542,1.357863326,0.100293413,1.557246768,1.192459949,2.749706718,29.85804173,27.10833501,0.099709733,0.210306722,5.916685411,4.947744955,0.043310807,4.991055762,11.07941953,16.07047529,1.263504006,292.1559411,94.76777808,2.639826159,89.87003311,0.877483444,1.592325575,1.548058971,2.818621149,0.842853491,0.696477629,12.21381683,22.9044965,22.493,15.23030318,14.30247234,10.63288451,2.222766177,35.11831333,52.02603599,10.63288451,2.222766177,1.94192221,89.27750246
bluff_creek,OEB0,Bluff Creek,Burned,9,Yes,No,loam,28,15-May,15,43,42,0.849,15.06541437,4.696248015,6.27,0.138021171,,,0.831680624,0.058069469,2.350451692,0.590313859,2.94076555,24.74077573,21.80001018,0.089059411,0.222609029,1.625106743,2.447952374,0.30021754,2.748169914,4.073059117,6.82122903,0.798095832,210.7657646,53.55694093,1.780425,59.39916667,3.033333333,0.614756765,1.393120308,2.263092618,0.775811444,0.083608243,26.51224021,29.69114662,16.773,10.46171215,9.393077355,6.337204416,0.831686008,56.20338683,36.62772275,6.337204416,0.831686008,2.856570952,82.98402377
bluff_creek,OEB1,Bluff Creek,Burned & Thinned,9,Yes,Yes,silt loam,26,0-5,10,35,55,0.766,23.40717915,6.198010113,5.44,0.19,,,2.087778267,0.071541311,2.809246911,0.450296828,3.25954374,6.802064408,3.542520668,0.150360875,0.312891084,3.521840599,5.172226454,5.399653199,10.57187965,8.694067052,19.26594671,1.559024877,280.4921723,93.16394227,1.106051325,70.73758278,-0.880794702,2.711986326,1.415949281,3.288780214,0.740631662,0.687529769,28.50470899,25.57391782,16.544,9.613624885,8.840948929,8.331426959,2.591654535,54.07862682,34.99829169,8.331426959,2.591654535,2.844220488,89.90637414
bluff_creek,OEB1,Bluff Creek,Burned & Thinned,9,Yes,Yes,silt loam,26,15-May,11,34,55,0.833,16.65627644,2.687468277,5.11,0.11,,,1.319269702,0.057405906,2.537704464,-0.00369011,2.534014355,6.732585785,4.19857143,-0.005163007,0.161674587,0.676860902,1.730312067,3.996636995,5.726949063,2.407172969,8.134122032,0.271757466,103.094491,20.20395756,0.481018212,47.47268212,1.880794702,1.055929836,0.530022463,1.565437132,0.479331872,0.462169094,27.23734371,24.24603189,15.688,9.605846105,9.241865396,10.03627832,3.944702227,51.4833756,34.53564385,10.03627832,3.944702227,2.719891713,58.38519839
bluff_creek,OEB2,Bluff Creek,Control,9,No,No,silt loam,27,0-5,11,33,56,0.7,30.02561445,10.3920418,5.94,0.34,4.93,14.59142208,3.027304793,-4.64E-05,5.626951133,1.233323729,6.860274862,34.67413284,27.81385798,0.109878482,0.085087879,4.351714536,8.645519518,10.15120285,18.79672237,12.99723405,31.79395642,1.604780234,270.4900434,227.7179234,2.663425,71.41916667,5.553333333,1.792021974,1.423643024,3.326936271,0.901400577,0.529352756,28.59606489,24.52900039,17.842,10.05472268,8.474666097,8.458728202,2.044770011,53.12506528,36.37143651,8.458728202,2.044770011,2.839811876,91.5635097
bluff_creek,OEB2,Bluff Creek,Control,9,No,No,silt loam,27,15-May,12,31,57,0.83,17.00281935,2.851087304,5.64,0.096294567,,,0.856793727,0.146170616,1.75034019,0.296882938,2.047223128,30.07203638,28.02481326,0.231331435,0.333723591,0.83154643,7.383772315,3.293053686,10.676826,8.215318744,18.89214474,0.072833948,48.8427511,23.91228185,0.833202341,46.43394649,1.969899666,1.368013472,0.719360375,1.633268822,0.445918774,0.91007968,25.42912876,21.02352715,14.985,10.28130114,11.16799647,13.44866322,3.664698458,46.45265591,36.43398241,13.44866322,3.664698458,2.521559427,49.14444426
calumet,OEC2,"Calumet, IN",Burned,7,Yes,No,loamy fine sand,19,0-5,3,86,11,0.805,19.52286965,10.92716997,3.65,0.25,5.58,22.19211769,1.955040915,0.157289681,1.400675171,0.034318997,1.434994168,21.33859322,19.90359905,0.564942782,0.005589685,1.272447006,8.292539106,24.75086874,33.04340784,9.564986111,42.60839396,0.880268874,166.6613549,105.4080765,0.119824415,53.64799331,4.969899666,1.330539418,1.678855857,6.852833332,0.679710514,0.637541074,2.58136549,5.056873177,7.223,8.843791274,34.02613642,41.69811867,0.570857204,7.638238668,50.09278546,41.69811867,0.570857204,0.672181364,88.13159266
calumet,OEC2,"Calumet, IN",Burned,7,Yes,No,fine sand,19,15-May,4,94,2,0.933,6.743073974,1.868382811,4.03,0.06,,,0.382295938,0.075105214,0.843275378,0.024832574,0.868107952,10.59833087,9.730222914,0.034146626,0.013491239,0.803946626,7.997948356,4.119159957,12.11710831,8.801894982,20.9190033,0.182048561,60.70702397,25.44306227,0.020525,12.05916667,-0.206666667,0.54221987,0.20699756,1.922103686,0.185562972,0.099059933,0.035459844,0.249192733,0.721,3.136544958,64.85685972,30.47055954,0.530214645,0.284652577,68.71457323,30.47055954,0.530214645,0.333461617,81.03979265
calumet,OEC1,"Calumet, IN",Control,7,No,No,fine sand,18,0-5,2,90,8,0.861,13.87809729,6.669400617,3.86,0.17,3.48,20.74364662,0.963097386,0.139133317,0.873704981,-0.011162262,0.86254272,9.783661683,8.921118963,0.306808338,0.009053296,2.543298602,3.536036381,22.68508185,26.22111823,6.079334984,32.30045321,0.501380546,143.717224,17.64684716,0.152607616,36.71440397,1.751655629,0.390427761,1.757355419,4.646845622,0.590849936,0.267851971,2.472924496,4.989808199,6.515,7.608079453,27.67640304,50.04993268,0.687571814,7.462732694,41.79976281,50.04993268,0.687571814,0.632653882,86.86337593
calumet,OEC1,"Calumet, IN",Control,7,No,No,fine sand,18,15-May,4,94,2,0.929,7.077213102,1.654691462,4.26,0.05,,,0.415220094,0.061949853,0.551118906,0.051894634,0.60301354,6.352324313,5.749310772,0.053364055,0.017123858,1.01382689,9.253639699,7.376118338,16.62975804,10.26746659,26.89722463,0.148885817,52.08053452,43.57949045,0.042839404,11.2442053,1.69205298,0.136995801,0.268621858,1.300576482,0.154118427,0.131000663,0,0.447284588,1.169,4.639813496,61.54736407,31.76270215,0.434185664,0.447284588,67.35582759,31.76270215,0.434185664,0.344785058,69.06344199
calumet,OEC0,"Calumet, IN",Thinned,7,No,Yes,loamy fine sand,20,0-5,5,87,8,0.83,16.96311552,12.09069272,3.85,0.27,5.55,20.34529686,2.975032799,0.386292188,4.648093583,0.042764231,4.690857814,73.53692848,68.84607067,0.678469404,0.004623405,4.044975244,5.331256644,35.87445077,41.20570742,9.376231888,50.58193931,0.871928421,146.9570671,238.3033473,0.291154485,58.96262458,4.817275748,1.238822706,2.824840293,7.245865786,0.744112359,0.591167013,2.381591623,5.862235807,7.958,11.29317783,33.53826009,38.40273421,0.564314316,8.243827431,52.78912405,38.40273421,0.564314316,0.706924858,86.4648807
calumet,OEC0,"Calumet, IN",Thinned,7,No,Yes,fine sand,20,15-May,3,92,5,0.925,7.549131746,2.157237656,4.06,0.06,,,0.512440807,0.082681222,1.003441431,0.002852372,1.006293803,25.54941692,24.54312311,0.025234724,0.038542341,2.283181596,9.63138274,9.86310758,19.49449032,11.91456434,31.40905465,0.191723528,49.78679926,84.99854529,0.012162829,13.93338816,1.019736842,0.380750855,0.3389972,1.989540477,0.281971029,0.097712733,0.539682128,1.287528119,3.085,6.010870309,50.34465739,38.06684931,0.664926769,1.827210247,59.44101367,38.06684931,0.664926769,0.409010536,71.53022901
hobart,OEH2,Hobart,Burned & Thinned,3,Yes,Yes,silt loam,9,0-5,15,29,56,0.755,24.54653687,9.427015655,5.81,0.5,6.49,12.97737503,1.580890625,0.089592,1.66060432,5.185627435,6.846231756,31.85751505,25.01128329,2.273199925,2.262951865,1.138487103,5.657928369,0.227747434,5.885675803,6.796415472,12.68209128,1.328976043,492.3425891,101.0653357,2.489529703,94.13778878,4.706270627,2.958961706,1.117033053,3.668479638,0.718179109,0.494554476,18.80551555,22.7291172,20.179,13.80298986,11.30789321,10.69297843,2.482793159,41.53463275,45.28959566,10.69297843,2.482793159,2.275669964,90.81678846
hobart,OEH2,Hobart,Burned & Thinned,3,Yes,Yes,silt loam,9,15-May,20,24,56,0.786,21.37243662,6.432115896,5.14,0.26,3.34,12.80519772,0.738987935,0.085403863,1.343030341,2.691925187,4.034955528,12.95501334,8.920057816,0.731392558,0.745346654,0.812106071,2.831587039,1.793151228,4.624738267,3.64369311,8.268431377,0.670158603,251.8137505,37.29346764,1.746955446,72.91006601,8.478547855,2.000503539,0.689299973,2.98308207,0.419444991,0.823012571,32.27949245,23.57492838,17.505,10.5876928,7.730855351,6.603561253,1.718762485,55.85442083,35.82325544,6.603561253,1.718762485,3.025446278,74.84142028
hobart,OEH1,"Hobart, IN",Burned,3,Yes,No,silt loam,8,0-5,17,28,55,0.782,21.77448162,7.860746282,6,0.29,3.82,12.95408726,1.300124863,0.074471592,1.141942162,2.602410008,3.74435217,18.15268778,14.40833561,0.757189245,0.77222402,1.136418402,3.46291358,6.850036291,10.31294987,4.599331982,14.91228185,1.018969234,245.8753961,37.31259361,1.441014851,82.78135314,3.617161716,3.268724705,1.052234332,4.276951581,0.523752571,0.783649943,15.49892626,20.1708728,21.217,14.78924301,11.79968849,12.83028496,3.693610872,35.66979906,47.80630511,12.83028496,3.693610872,2.028907207,82.17956913
hobart,OEH1,"Hobart, IN",Burned,3,Yes,No,silt loam,8,15-May,16,31,53,0.803,19.65138999,3.924590085,4.93,0.13,,,0.49742801,0.053573794,0.911269434,1.106152819,2.017422253,18.79396098,16.77653872,0.527669038,0.526469982,0.686980595,1.516175198,4.778761357,6.294936555,2.203155793,8.498092349,0.387687096,94.63091629,15.98518553,0.600713115,52.10081967,7.527868852,1.160471684,0.670754266,2.77821092,0.341169703,0.470839369,16.64637056,24.70848615,22.349,13.16864106,9.938693121,9.865360199,3.32355739,41.35485671,45.4562257,9.865360199,3.32355739,2.227131861,66.33020792
hobart,OEH0,"Hobart, IN",Control,3,No,No,loam,10,0-5,12,46,42,0.854,14.55725367,6.401959462,5.45,0.24,3.3,13.64045429,1.235721161,0.091898715,1.432810543,1.992646085,3.425456628,18.20516284,14.77970621,0.58092889,0.559850562,3.71757921,5.303528921,9.663909152,14.96743807,9.021108131,23.9885462,0.858358652,269.3260264,19.08932235,1.290519802,78.84075908,2.755775578,2.824241584,1.245353651,3.402108327,0.572189422,0.696840542,15.47953657,21.27428995,17.037,12.00057386,14.0919045,15.82199357,4.294517153,36.75382652,43.12966276,15.82199357,4.294517153,1.990515972,89.82202569
hobart,OEH0,"Hobart, IN",Control,3,No,No,loam,10,15-May,10,46,44,0.897,10.32512394,3.472391821,4.77,0.13,,,0.647223127,0.058802303,0.927912892,1.015256012,1.943168904,9.945481678,8.002312773,0.539550375,0.45122789,0.69540532,3.32471028,7.254378072,10.57908835,4.020115599,14.59920395,0.346568699,125.582493,37.98624172,0.512232441,54.31020067,3.565217391,1.594941895,0.503610338,2.402023834,0.320811145,0.545378946,17.03446585,20.3670811,17.096,13.01213841,13.91255151,14.06026019,4.517135035,37.40154695,44.02105783,14.06026019,4.517135035,2.061787344,65.79365839
howes,OEI1,Howes,Burned,5,Yes,No,fine sand,14,0-5,2,93,5,0.928,7.226616846,3.869060371,4.94,0.12,,18.14538574,1.130811217,0.108148153,2.173354754,0.222449675,2.395804429,-7.293506556,-9.689310985,0.182794474,0.138531684,0.334719732,4.905537677,3.470693859,8.376231537,5.24025741,13.61648895,0.286783249,136.1923424,59.28879494,0.459593023,27.62707641,2.634551495,1.198212743,0.927631891,3.443634173,0.431465455,0.209195372,0.608719233,2.221600415,4.433,7.376885861,41.35205084,43.31897823,0.688706919,2.830319649,53.1619952,43.31897823,0.688706919,0.445874638,90.71306867
howes,OEI1,Howes,Burned,5,Yes,No,fine sand,14,15-May,2,97,1,0.961,3.906391728,1.197742957,4.73,0.05,,,0.296785166,0.04115912,0.575390935,0.065640316,0.641031252,-1.528190712,-2.169221964,0.104996416,0.022564274,-0.168436708,3.687593408,3.035403962,6.722997371,3.5191567,10.24215407,0.092854791,48.40950447,8.814141829,0.096757426,7.523927393,2.438943894,0.330295984,0.327544511,1.749210821,0.229619249,0.033561053,0.297191533,0.852682459,1.387,4.000965512,72.9463529,20.20420292,0.311282288,1.149873992,78.3346408,20.20420292,0.311282288,0.398469723,66.73524613
howes,OEI0,Howes,Burned & Thinned,5,Yes,Yes,fine sand,15,0-5,4,92,4,0.891,10.85045883,6.045668721,5.99,0.17,3.23,19.17097855,0.923457742,0.089546473,0.923911602,0.775748557,1.699660159,1.613667574,-0.085992585,0.133529856,0.201321777,4.998873552,6.046656191,6.196530243,12.24318643,11.04552974,23.28871618,0.428893385,139.8752457,79.05937031,1.337425,31.91916667,3.203333333,0.715963083,0.507451299,2.471337275,0.429671172,0.129281591,0.366990491,1.191425632,2.605,4.095953085,37.96043539,52.97012186,0.810453109,1.558416123,44.66100891,52.97012186,0.810453109,0.35036729,62.69742542
howes,OEI0,Howes,Burned & Thinned,5,Yes,Yes,fine sand,15,15-May,2,97,1,0.962,3.83291453,1.05950783,4.96,0.04,,,0.235836238,0.027896109,1.63106743,0.042043525,1.673110955,0.6003258,-1.072785155,-0.095998367,0.00522802,0.18828866,3.282956149,4.297733254,7.580689403,3.471244809,11.05193421,0.066586745,25.52556411,16.19103156,0.087333887,9.666943522,-0.584717608,0.332218786,0.263710892,1.280780205,0.053492051,0.099083738,0.029328127,0.237238417,0.44,2.037859612,74.2465938,22.75927541,0.249211649,0.266566545,76.7249464,22.75927541,0.249211649,0.343739252,69.02562332
howes,OEI2,Howes,Control,5,No,No,fine sand,13,0-5,2,92,6,0.873,12.6988417,7.797089912,4.03,0.15,3.02,20.02406311,1.221233931,0.151294856,2.59528408,0.110321228,2.705605308,17.13310157,14.42749626,0.422183948,0.010266576,1.047247262,4.606543395,21.77825997,26.38480337,5.653790657,32.03859402,0.596303465,207.5502625,41.11786692,0.265938538,37.72342193,2.405315615,1.557076815,1.591330771,6.065453813,0.437930957,0.250601725,1.825804224,3.87048868,5.973,7.015608463,44.23361225,36.59072735,0.490761012,5.696292904,57.22221874,36.59072735,0.490761012,0.589315997,89.06701126
howes,OEI2,Howes,Control,5,No,No,fine sand,13,15-May,1,96,3,0.961,3.894242752,0.924945433,4.36,0.03,,,0.500998627,0.041148082,0.392405937,0.02845141,0.420857348,-0.248644507,-0.669501855,0.028365287,0.026497745,0.656100399,2.939090646,2.415075721,5.354166367,3.595191045,8.949357412,0.066150555,58.74594605,47.03617243,0.021752492,7.912790698,0.790697674,0.090307645,0.107634765,0.792802014,0.051958067,0.083907438,0.077877605,0.346547254,0.714,2.13895532,70.08188875,26.35953737,0.280931531,0.424424859,72.93510624,26.35953737,0.280931531,0.3446414,84.59098002
dunes,NA,Indiana Dunes State Park,Burned,6,Yes,No,fine sand,22,0-5,2,91,7,0.874,12.55043746,7.951300852,4.87,0.27,4.15,15.38793087,3.300305277,0.380050805,4.123736402,0.142416163,4.266152565,48.47187593,44.20572336,0.505837114,-0.006390073,6.83316336,6.595860687,22.82825067,29.42411136,13.42902405,42.8531354,0.966210166,232.4242538,77.087884,1.188425,48.41916667,6.343333333,2.380757524,3.814929066,6.911106379,0.738025809,0.711403636,3.642238657,1.433564158,5.49,9.888147544,36.65531682,42.34014516,0.550936506,5.075802815,52.03311552,42.34014516,0.550936506,0.619795874,85.28424654
dunes,NA,Indiana Dunes State Park,Burned,6,Yes,No,fine sand,22,15-May,1,95,4,0.938,6.162201458,1.934513637,4.78,0.06,,,0.579143081,0.059114624,0.85814939,0.252212357,1.110361746,3.655869321,2.545507574,0.046716135,0.064205323,0.029247852,10.08909991,-1.131012101,8.958087813,10.11834777,19.07643558,0.138949826,79.13965229,17.53230888,0.19736711,12.91611296,0.561461794,0.384311812,0.420722388,1.606132524,0.191048346,0.11483225,0.11636501,0.369051522,1.081,5.194707571,64.54710814,28.25070071,0.440981035,0.485416532,70.82290173,28.25070071,0.440981035,0.35819837,82.62332478
dunes,NA,Indiana Dunes State Park,Burned & Thinned,6,Yes,Yes,fine sand,17,0-5,3,92,5,0.905,9.546619405,6.64866153,4.31,0.17,4.22,24.60473633,1.564894992,0.153706504,0.542930794,0.039553058,0.582483852,16.19571161,15.61322776,0.111083004,0.001033556,1.942386156,3.061386096,10.68999591,13.751382,5.003772251,18.75515426,0.39369661,156.6481731,118.2646272,0.332385246,47.17295082,3.573770492,0.846149008,1.488150176,4.736182065,0.695572425,0.625326497,2.038426326,3.534760437,4.704,6.158161811,39.36701631,43.02506938,1.172394383,5.573186762,50.22934947,43.02506938,1.172394383,0.558217152,77.4864531
dunes,NA,Indiana Dunes State Park,Burned & Thinned,6,Yes,Yes,fine sand,17,15-May,2,96,2,0.965,3.503743421,1.136916498,4.29,0.03,,,0.113545107,0.054968028,0.043444044,0.02791854,0.071362584,-4.482257886,-4.55362047,0.000929213,-0.001657695,0.390983526,7.025316088,7.573369219,14.59868531,7.416299614,22.01498492,0.076856639,82.45425561,35.34271062,0.012442053,8.909768212,3.062913907,0.272300914,0.369190029,1.223119815,0.113377547,0.120846675,0.050583597,0.293601774,0.496,1.500709759,62.23029648,34.90631378,0.522621499,0.344185371,64.22687935,34.90631378,0.522621499,0.316921661,
dunes,NA,Indiana Dunes State Park,Control,6,No,No,fine sand,16,0-5,4,91,5,0.914,8.583938488,7.177402397,4.38,0.14,3.47,25.0431366,1.524804918,0.188291615,1.368252472,0.016488808,1.384741281,13.93979572,12.55505444,0.422945701,0.010652049,1.098133928,7.929431821,15.01671033,22.94614216,9.027565749,31.9737079,0.701631774,176.9463266,71.03792669,0.487945545,43.60313531,5.092409241,1.877286645,1.654197765,5.561180494,0.680207608,0.103351258,0.752039176,2.610427084,4.012,6.262299892,44.95271255,40.40450606,1.005610545,3.36246626,55.22741714,40.40450606,1.005610545,0.460640468,89.15104068
dunes,NA,Indiana Dunes State Park,Control,6,No,No,fine sand,16,15-May,2,95.5,2.5,0.972,2.778408661,1.238124903,4.31,0.05,,,0.289777405,0.051332944,0.663107674,0.040160481,0.703268155,11.71292469,11.00965654,0.017139666,-0.002117648,0.080028655,5.100609784,1.578829948,6.679439732,5.180638439,11.86007817,0.110101126,45.75200095,35.50978284,0.053446844,10.3845515,2.365448505,0.539833512,0.522918943,2.095087921,0.136698466,0.079967801,0.313814119,0.484605748,0.655,2.089211706,72.55954349,23.44210287,0.455270312,0.798419867,75.30420695,23.44210287,0.455270312,0.366601604,94.64276504
inland_marsh,NA,Inland Marsh,Burned & Thinned,4,Yes,Yes,fine sand,12,0-5,3,91.5,5.5,0.879,12.1123256,5.654701719,4.33,0.06,,18.81391525,1.410566785,0.08805151,0.471880979,0.136165947,0.608046926,19.70533121,19.09728429,0.403834682,0.242250874,0.780935718,5.872824467,19.67518254,25.548007,6.653760185,32.20176719,0.500473327,100.7680476,62.53773468,0.272985197,32.53536184,6.032894737,1.544273656,0.889355111,3.738569498,0.448923642,0.37159187,1.295678299,2.557823405,4.023,7.286984344,36.06289309,48.00048845,0.772655389,3.853501704,47.37335446,48.00048845,0.772655389,0.477641281,89.84703499
inland_marsh,NA,Inland Marsh,Burned & Thinned,4,Yes,Yes,fine sand,12,15-May,2,95.5,2.5,0.948,5.163541728,1.226560226,4.49,0.04,,,0.350919894,0.0395636,0.820007357,0.115549893,0.93555725,7.350553572,6.414996322,0.290180908,0.271966639,0.55703316,4.668448869,0.423616361,5.09206523,5.225482029,10.31754726,0.079749473,67.39934885,10.49027036,0.040773616,11.68648208,2.426710098,0.247495635,0.213645869,1.014899786,0.089175278,0.099258701,0,0.139711196,0.377,1.915985732,58.71985819,38.40571256,0.441493861,0.139711196,61.01308238,38.40571256,0.441493861,0.302720924,
inland_marsh,NA,Inland Marsh,Control,4,No,No,fine sand,11,0-5,4,90,6,0.85,14.95787427,6.884113194,5.47,0.23,3.94,16.87191391,1.602294128,0.152056289,2.026939374,4.481946416,6.50888579,32.32470156,25.81581577,0.969314322,1.024655251,0.867429134,4.614192925,6.104453183,10.71864611,5.481622059,16.20026817,0.648261262,166.2363638,47.54080673,1.266978477,34.66804636,3.052980132,2.042617819,0.93036692,3.640473843,0.319675467,0.731360848,0.631153494,4.314424976,6.843,9.731054411,27.24189206,50.71441372,0.524023525,4.94557847,43.81598428,50.71441372,0.524023525,0.522058732,94.16299352
inland_marsh,NA,Inland Marsh,Control,4,No,No,fine sand,11,15-May,2,94,4,0.907,9.257761814,2.505491773,5.15,0.08,,,0.544141157,0.061998386,1.035874245,2.173111954,3.208986199,9.570640173,6.361653974,0.592114806,0.592106477,0.645651216,7.125014864,1.457150053,8.582164917,7.77066608,16.352831,0.170260613,80.41528396,13.03359432,0.299434426,15.55,-0.567213115,0.634276406,0.402277828,2.271432086,0.180521782,0.227323725,0.225691443,1.192271852,5.885,5.884616745,41.91565973,44.51262679,0.384516693,1.417963295,53.68489322,44.51262679,0.384516693,0.406435769,94.7174643
inland_marsh,NA,Inland Marsh ,Burned,4,Yes,No,fine sand,21,0-5,1,93.5,5.5,0.924,7.648171501,4.801893448,5.16,0.16,3.2,20.60554886,1.65595875,0.156742143,0.937965108,0.1074641,1.045429208,16.10871645,15.06328724,0.123177641,0.066501963,3.538064653,8.322467277,2.984879172,11.30734645,11.86053193,23.16787838,0.471018211,234.0668228,100.8723862,0.713667219,37.71771523,4.473509934,0.591019342,1.496807568,4.312378027,0.354694136,0.287373032,0.658608572,2.245909699,3.301,4.50584221,31.97800736,56.47458409,0.835805916,2.904518272,39.78509172,56.47458409,0.835805916,0.395904265,63.97355434
inland_marsh,NA,Inland Marsh ,Burned,4,Yes,No,fine sand,21,15-May,1,96,3,0.967,3.262140463,1.194552999,4.63,0.04,,,0.368091926,0.025725631,-0.027792549,0.066008145,0.038215596,1.988612002,1.950396407,0.00505181,-0.004685735,1.819862664,6.657574363,1.318036186,7.975610548,8.477437027,16.45304758,0.125573792,68.16873094,14.09841077,0.05015625,10.77549342,-0.055921053,0.173132908,0.554066742,0.975824439,0.067018705,0.125295839,0,0,0.207,0.889633783,42.75501514,55.76245694,0.386391521,0,43.85115154,55.76245694,0.386391521,0.254683616,
kettle_moraine,NA,Kettle Moraine,Burned & Thinned,9,Yes,Yes,sandy loam,29,0-5,8,62,30,0.860090599,13.99094007,6.177671474,6.74,0.195464388,2.963286877,15.16023922,1.731091954,0.186957166,1.869512119,0.156618141,2.02613026,46.3562063,44.33007604,0.035180047,0.158804758,1.173991848,6.82985931,2.833436722,9.663296032,8.003851158,17.66714719,0.493357087,203.3201989,29.63331747,2.107327303,61.42023026,4.167763158,2.252525895,2.108205933,3.051758813,0.567387952,0.558980608,18.98,21.4039936,15.85073225,12.61198143,15.2251719,14.20097383,1.727042767,40.38409783,43.68788558,14.20097383,1.727042767,2.192343443,90.66842858
kettle_moraine,NA,Kettle Moraine,Burned & Thinned,9,Yes,Yes,sandy loam,29,15-May,10,62,28,0.889723262,11.02767377,4.034324674,6.34,0.123494841,,,1.906029216,0.248321514,2.686774339,0.118020801,2.80479514,51.17044368,48.36564854,0.325781253,0.378970016,0.56090523,3.688733603,6.121895747,9.81062935,4.249638833,14.06026818,-0.565033096,177.5365623,11.20619384,1.421517857,44.8336039,4.152597403,1.48852687,1.944843517,4.262712578,0.560622674,0.532823203,20.734,22.2976998,15.10000242,11.87855472,15.11895502,13.51201698,1.359138912,43.03133195,42.09751216,13.51201698,1.359138912,2.306065078,81.31474293
lake_co,OEL1,"Lake Co., MacArthur",Burned & Thinned,2,Yes,Yes,silt loam,6,0-5,24,25,51,0.712,28.79225979,8.217502213,5.9,0.3,3.77,12.53834534,2.337898221,0.087644775,6.653869533,2.477596812,9.131466344,14.57548462,5.444018278,0.996412537,1.434550888,3.311909113,3.301583909,1.706643866,5.008227776,6.613493023,11.6217208,1.155106686,309.837163,91.35298198,2.071519934,97.47425249,3.19269103,3.702360815,1.531405774,4.958680024,0.457798598,0.550711416,28.77265253,29.69702981,22.983,9.837619739,4.652447233,3.36994928,0.686939193,58.46968234,37.47342919,3.36994928,0.686939193,3.058536816,88.97605015
