"domainID","siteID","pitID","horizonID","collectDate","horizonName","horizonBottomDepth","layer_thickness","n_layers"
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2",2012-07-17,"2Cd2",-1.6,0.27,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1",2012-07-17,"2Cd1",-1.33,0.2,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_2C",2012-07-17,"2C",-1.13,0.17,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC",2012-07-17,"2BC",-0.96,0.14,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2",2012-07-17,"Bw2",-0.82,0.29,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1",2012-07-17,"Bw1",-0.53,0.21,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E",2012-07-17,"Bw/E",-0.32,0.15,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_AP",2012-07-17,"Ap",-0.17,0.08,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_A",2012-07-17,"A",-0.09,0.05,10
"D01","HARV","1_HARVARD_PIT1","1_HARVARD_PIT1_OI",2012-07-17,"Oi",-0.04,0.04,10
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_2C/CR",2014-08-19,"2C/Cr",-2,0.9,6
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_2C",2014-08-19,"2C",-1.1,0.31,6
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_BW2",2014-08-19,"Bw2",-0.79,0.3,6
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_BW1",2014-08-19,"Bw1",-0.49,0.19,6
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_A2",2014-08-19,"A2",-0.3,0.16,6
"D13","NIWO","13_NIWOT_PIT1","13_NIWOT_PIT1_A1",2014-08-19,"A1",-0.14,0.14,6
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_2BT4",2013-09-23,"2Bt4",-1.8,0.33,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_2BT3",2013-09-23,"2Bt3",-1.47,0.82,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_2BT2",2013-09-23,"2Bt2",-0.65,0.25,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_BT1",2013-09-23,"Bt1",-0.4,0.21,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_E",2013-09-23,"E",-0.19,0.09,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_A",2013-09-23,"A",-0.1,0.09,7
"D07","ORNL","7_OAKRIDGE_PIT1","7_OAKRIDGE_PIT1_OI",2013-09-23,"Oi",-0.01,0.01,7
"D03","OSBS","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW3",2012-06-19,"Bw3",-2,0.75,4
"D03","OSBS","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW2",2012-06-19,"Bw2",-1.25,0.97,4
"D03","OSBS","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW1",2012-06-19,"Bw1",-0.28,0.21,4
"D03","OSBS","3_ORDWAY_PIT1","3_ORDWAY_PIT1_A",2012-06-19,"A",-0.07,0.07,4
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_2CR",2013-05-13,"2Cr",-2.47,0.38,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_2BC",2013-05-13,"2BC",-2.09,0.3,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_2BT5",2013-05-13,"2Bt5",-1.79,0.33,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_2BT4",2013-05-13,"2Bt4",-1.46,0.32,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_BT3",2013-05-13,"Bt3",-1.14,0.55,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_BT2",2013-05-13,"Bt2",-0.59,0.25,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_BT1",2013-05-13,"Bt1",-0.34,0.2,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_BA",2013-05-13,"BA",-0.14,0.07,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_A",2013-05-13,"A",-0.07,0.05,10
"D02","SCBI","2_SCBI_PIT1","2_SCBI_PIT1_OI",2013-05-13,"Oi",-0.02,0.02,10
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_R",2016-11-15,"R",-1.85,0.15,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_CR",2016-11-15,"Cr",-1.7,0.41,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_C",2016-11-15,"C",-1.29,0.48,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_BW",2016-11-15,"Bw",-0.81,0.24,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_BA",2016-11-15,"BA",-0.57,0.23,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_A2",2016-11-15,"A2",-0.34,0.26,7
"D17","SJER","D17_SJER_PIT1","D17_SJER_PIT1_A1",2016-11-15,"A1",-0.08,0.08,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_C2",2014-01-13,"C2",-2,0.7,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_C1",2014-01-13,"C1",-1.3,0.37,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BC",2014-01-13,"Bc",-0.93,0.18,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BT",2014-01-13,"Bt",-0.75,0.38,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BE",2014-01-13,"BE",-0.37,0.12,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_A2",2014-01-13,"A2",-0.25,0.15,7
"D08","TALL","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_A1",2014-01-13,"A1",-0.1,0.1,7
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2",2013-09-09,"3C2",-2.35,0.88,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1",2013-09-09,"2C1",-1.47,0.33,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2",2013-09-09,"2Bt2",-1.14,0.31,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT1",2013-09-09,"2Bt1",-0.83,0.26,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX",2013-09-09,"E/Bx",-0.57,0.09,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2",2013-09-09,"BS2",-0.48,0.17,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_BS1",2013-09-09,"BS1",-0.31,0.08,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_E",2013-09-09,"E",-0.23,0.08,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_BS",2013-09-09,"Bs",-0.15,0.07,10
"D05","UNDE","5_UNDERC_PIT1","5_UNDERC_PIT1_A",2013-09-09,"A",-0.08,0.08,10
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_3CG",2017-09-26,"3Cg",-2,0.22,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_3AB",2017-09-26,"3AB",-1.78,0.16,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_2C2",2017-09-26,"2C2",-1.62,0.26,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_2C1",2017-09-26,"2C1",-1.36,0.42,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_BC",2017-09-26,"BC",-0.94,0.14,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_BW",2017-09-26,"Bw",-0.8,0.3,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_AC",2017-09-26,"Ac",-0.5,0.41,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_OA",2017-09-26,"Oa",-0.09,0.06,9
"D16","WREF","D16_WREF_PIT1","16_WREF_PIT1_OI",2017-09-26,"Oi",-0.03,0.03,9
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BTK4",2018-07-11,"Btk4",-2,0.39,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BTK3",2018-07-11,"Btk3",-1.61,0.35,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BTK2",2018-07-11,"Btk2",-1.26,0.28,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BTK1",2018-07-11,"Btk1",-0.98,0.31,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BT2",2018-07-11,"Bt2",-0.67,0.22,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BW",2018-07-11,"Bw",-0.45,0.16,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_BT1",2018-07-11,"Bt1",-0.29,0.25,8
"D12","YELL","12_YELL_PIT1","12_YELL_PIT1_A",2018-07-11,"A",-0.04,0.04,8
