"field_domain_id","field_site_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_access_details","field_neon_field_operations_office","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_elevation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_domint_plant_species","field_usgs_huc","field_watershed_name","field_watershed_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_usgs_geology_unit","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_grean_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels"
"D01","BART","Bartlett Experimental Forest NEON","Gradient Terrestrial","","","Northern Research Station, US Forest Service","https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/","Yes","Bartlett Experimental Forest has very limited staff and the USFS personnel are NOT available to support external researchers. Permitting requests for research activities should be submitted at least 6 months prior to planned start.","Domain 01 Support Facility",44.063889,-71.287375,"WGS84",4881511.552,316812.1595,"19N","Carroll","NH","USA",274,230,655,6.2,1325,"S","23","Deciduous Forest|Evergreen Forest|Mixed Forest","Fagus grandifolia (American beech)|Tsuga canadensis (Eastern hemlock)|Acer rubrum (Red maple)","","",NA,NA,NA,35,"NHJc1b;0","Coarse-loamy, isotic, frigid.  Aquic Haplorthods.","Aquic Haplorthods",180,"120","170","220","300","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00042)",6
"D02","BLAN","Blandy Experimental Farm NEON","Gradient Terrestrial","","LEWI","University of Virginia|Private Land","http://blandy.virginia.edu/research|","Yes (Tower and TIS) / Very Limited","Research activity at the NEON tower area via University of Virginia. / Very limited available via private land owner.","Domain 02 Support Facility",39.033698,-78.041788,"WGS84",4327545.884,753379.5421,"17N","Clarke","VA","USA",183,119,193,12.1,983,"NW","1","Deciduous Forest|Pasture/Hay","Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)","","",NA,NA,NA,8,"VAOCAco;0","Fine, mixed, subactive, mesic. Ultic Hapludalfs.","Ultic Hapludalfs",235,"75","150","210","310","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.BLAN.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.BLAN.DP1.00042)",4
"D02","SERC","Smithsonian Environmental Research Center NEON","Gradient Terrestrial","","","Smithsonian Institution","https://serc.si.edu/","Yes","Some areas of the site have pre-existing experiments and a high density of markers, equipment, sensors etc. Care should be taken to coordinate and avoid impacting on-going work at the site. All researchers must be accompanied while on-site by at least one individual with an approved Visiting Scientist Agreement. Annual hunting activities may render this area completely inaccessible for short periods of time (1 or 2 days) over the course of the season.","Domain 02 Support Facility",38.890131,-76.560014,"WGS84",4305735.3,364703.6624,"18N","Anne Arundel","MD","USA",33,0,43,13.6,1075,"NNW","38","Cultivated Crops|Deciduous Forest","Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)","","",NA,NA,NA,62,"MDTn;5","Fine, loamy, mixed, active, mesic. Aquic Hapludults.","Aquic Hapludults",245,"80","155","220","325","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SERC.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SERC.DP1.00042)",6
"D03","JERC","The Jones Center At Ichauway NEON","Gradient Terrestrial","","FLNT","Robert Woodruff Foundation, Inc.","http://www.jonesctr.org/research/","Yes","This area is a very active research community and will required a site research permit.","Domain 03 Support Facility",31.194839,-84.468623,"WGS84",3453956.371,741205.7224,"16N","Baker","GA","USA",47,29,55,19.2,1308,"NE","27","Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest","Aristida beyrichiana (wiregrass)|Quercus falcata (southern red oak)|Pinus palustris (longleaf pine)","","",NA,NA,NA,42,"GAEOo;1","Loamy, kaolinitic, thermic.  Arenic Kandiudults.","Arenic Kandiudults",220,"90","175","220","310","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00042)",6
"D05","STEI","Steigerwaldt-Chequamegon NEON","Gradient Terrestrial","","","Private|Chequamegon Nicolet National Forest","|https://www.fs.usda.gov/cnnf/","Very Limited / Yes","Very limited available via private land owner. / NEON sampling area of this field site is located in Chequamegon Nicolet National Forest. Additional research may take place in this area with site host permission.","Domain 05 Support Facility",45.50894,-89.58637,"WGS84",5042743.852,297968.6864,"16N","Lincoln","WI","USA",476,466,536,4.8,797,"WSW","20m (in surounding non-logged area) ","Deciduous Forest|Mixed Forest|Woody Wetlands","Populus tremuloides (quaking aspen)|Abies balsamea (balsam fir)|Acer rubrum (red maple)","","",NA,NA,NA,22,"WIXmi;0|WIXmv;0","Coarse, loamy, mixed, superactive, frigid. Alfic Epiaquods.","Alfic Epiaquods",170,"120","165","215","290","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.STEI.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.STEI.DP1.00042)",6
"D05","TREE","Treehaven NEON","Gradient Terrestrial","","","University of Wisconsin-Stevens Point","https://www.uwsp.edu/cnr-ap/treehaven/Pages/Research-Form.aspx","Yes","Treehaven encourages research projects. Research activities may be limited based on other uses of this property and on-going projects.","Domain 05 Support Facility",45.49369,-89.58571,"WGS84",5041047.894,297965.3164,"16N","Lincoln","WI","USA",467,447,482,4.8,797,"WSW","23","Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands","Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus incana (gray alder)","","",NA,NA,NA,36,"WIXmv;0","Coarse, loamy, mixed, superactive, frigid. Alfic Haplorthods.","Alfic Haplorthods",170,"120","165","215","290","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.TREE.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.TREE.DP1.00042)",6
"D07","GRSM","Great Smoky Mountains National Park NEON","Gradient Terrestrial","","LECO","National Park Service","https://irma.nps.gov/rprs/","Yes","The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal.","Domain 07 Support Facility",35.68896,-83.50195,"WGS84",3952335.289,273599.8765,"17N","Sevier","TN","USA",575,426,1978,13.1,1375,"NW","30","Deciduous Forest|Evergreen Forest","Liriodendron tulipifera (tulip tree/yellow poplar)|Lindera benzoin (spicebush)|Acer rubrum (red maple)","","",NA,NA,NA,45,"TNpCAs;15","Loamy, skeletal, isotic, mesic.  Typic Humudepts.","Typic Humudepts",220,"90","155","215","310","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00042)",6
"D07","MLBS","Mountain Lake Biological Station NEON","Gradient Terrestrial","","","University of Virginia|George Washington and Jefferson National Forest","https://mlbs.virginia.edu/resapp|https://www.fs.usda.gov/gwj/","Yes / Limited","Mountain Lake Biological Station is open to additional research activities taking place in this area. / Researchers should coordinate directly with the US Forest Service for permitting and approval.","Domain 07 Support Facility",37.378314,-80.524847,"WGS84",4136943.44,542067.64,"17N","Giles","VA","USA",1170,752,1320,8.8,1227,"WNW","18","Deciduous Forest","Acer rubrum (red maple)|Quercus alba (northern red oak)|Quercus rubra (white oak)","","",NA,NA,NA,29,"VADSz;0","The dominant wind direction is west-northwest.","Fluvaquents",200,"110","160","220","310","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00042)",6
"D08","DELA","Dead Lake NEON","Gradient Terrestrial","","BLWA","US Army Corps of Engineers","https://www.sam.usace.army.mil/","Limited","This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible.","Domain 08 Support Facility",32.541727,-87.803877,"WGS84",3600769.463,424518.299,"16N","Greene","AL","USA",25,21,41,17.6,1372,"SW","30","Evergreen Forest|Woody Wetlands","Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)","","",NA,NA,NA,42,"ALHalt;0","Fine, mixed, semiactive, thermic. Aquic Paleudults.","Aquic Paleudults",270,"60","135","205","330","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00042)",6
"D08","LENO","Lenoir Landing NEON","Gradient Terrestrial","","TOMB","US Army Corps of Engineers|US Fish and Wildlife Service","https://www.sam.usace.army.mil/|https://www.fws.gov/refuge/choctaw/","Limited /Yes","This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible. / The primary purpose of the refuge is to provide wood duck brood habitat and serve as a protected wintering area for waterfowl. Researchers should coordinate directly with site manager.","Domain 08 Support Facility",31.853861,-88.161181,"WGS84",3524827.167,390139.6172,"16N","Choctaw","AL","USA",13,NA,NA,18.1,1386,"N","35","Deciduous Forest|Woody Wetlands","Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)","","",NA,NA,NA,47,"ALHalt;0","Fine, mixed, active, acid, thermic.  Vertic Epiaquepts.","Vertic Epiaquepts",265,"70","145","200","335","[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.LENO.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.LENO.DP1.00042)",6
